LEVEL,SCHOOLYEAR,COUNTY,DISTRICT,SCHOOL,NAME,SUBJECT,GRADE,SUBGROUPTYPE,SUBGROUPDESCRIPTION,AVERAGESCALESCORE,DEVELOPINGCOUNT,DEVELOPINGPERCENT,ONTRACKCOUNT,ONTRACKPERCENT,ADVANCEDCOUNT,ADVANCEDPERCENT,TESTEDCOUNT,NOTTESTEDCOUNT,NOTTESTEDPERCENT,DATAASOF,BASIC_PCT,PROFICIENT_PCT,YEAR
ST,2024-2025,0,0,0,STATE OF NEBRASKA,Mathematics,3,GENDER,Female,1179.56,5113.0,0.4367,4886.0,0.4172999999999999,1709.0,0.146,11694.0,14.0,0.0012,2025-11-19,,,2025
ST,2024-2025,0,0,0,STATE OF NEBRASKA,Mathematics,3,GENDER,Male,1196.92,4425.0,0.36,5118.0,0.4164,2749.0,0.2236,12270.0,22.0,0.0018,2025-11-19,,,2025
ST,2024-2025,0,0,0,STATE OF NEBRASKA,Mathematics,4,GENDER,Female,1210.4,4757.0,0.4175,5250.0,0.4607,1388.0,0.1217999999999999,11374.0,21.0,0.0018,2025-11-19,,,2025
ST,2024-2025,0,0,0,STATE OF NEBRASKA,Mathematics,4,GENDER,Male,1224.27,4593.0,0.3714,5407.0,0.4372,2366.0,0.1913,12329.0,37.0,0.003,2025-11-19,,,2025
ST,2024-2025,0,0,0,STATE OF NEBRASKA,Mathematics,5,GENDER,Female,1231.12,5094.0,0.4302,5089.0,0.4297999999999999,1657.0,0.1399,11819.0,22.0,0.0019,2025-11-19,,,2025
ST,2024-2025,0,0,0,STATE OF NEBRASKA,Mathematics,5,GENDER,Male,1240.57,4840.0,0.3956,5049.0,0.4125999999999999,2347.0,0.1918,12205.0,31.0,0.0025,2025-11-19,,,2025
ST,2024-2025,0,0,0,STATE OF NEBRASKA,Mathematics,6,GENDER,Female,1234.28,5240.0,0.455,4988.0,0.4331,1288.0,0.1118,11486.0,30.0,0.0026,2025-11-19,,,2025
ST,2024-2025,0,0,0,STATE OF NEBRASKA,Mathematics,6,GENDER,Male,1239.37,5211.0,0.4244,5342.0,0.4351,1725.0,0.1405,12240.0,38.0,0.0031,2025-11-19,,,2025
ST,2024-2025,0,0,0,STATE OF NEBRASKA,Mathematics,7,GENDER,Female,1241.54,5179.0,0.4498,4847.0,0.4209,1489.0,0.1293,11470.0,45.0,0.0039,2025-11-19,,,2025
ST,2024-2025,0,0,0,STATE OF NEBRASKA,Mathematics,7,GENDER,Male,1245.21,5430.0,0.4407,5002.0,0.406,1888.0,0.1532,12253.0,67.0,0.0054,2025-11-19,,,2025
ST,2024-2025,0,0,0,STATE OF NEBRASKA,Mathematics,8,GENDER,Female,1252.75,4823.0,0.4196999999999999,5159.0,0.449,1509.0,0.1313,11430.0,61.0,0.0053,2025-11-19,,,2025
ST,2024-2025,0,0,0,STATE OF NEBRASKA,Mathematics,8,GENDER,Male,1251.38,5266.0,0.4314,5104.0,0.4181,1838.0,0.1506,12136.0,72.0,0.0059,2025-11-19,,,2025
DI,2024-2025,1,18,0,HASTINGS PUBLIC SCHOOLS,Mathematics,4,GENDER,Female,1187.61,71.0,0.5221,60.0,0.4412,5.0,0.0368,135.0,,,2025-11-19,,,2025
DI,2024-2025,1,18,0,HASTINGS PUBLIC SCHOOLS,Mathematics,4,GENDER,Male,1206.03,54.0,0.4286,62.0,0.4921,10.0,0.0794,126.0,,,2025-11-19,,,2025
DI,2024-2025,1,18,0,HASTINGS PUBLIC SCHOOLS,Mathematics,5,GENDER,Female,1211.49,73.0,0.5659000000000001,51.0,0.3953,5.0,0.0388,128.0,,,2025-11-19,,,2025
DI,2024-2025,1,18,0,HASTINGS PUBLIC SCHOOLS,Mathematics,5,GENDER,Male,1221.89,72.0,0.4966,59.0,0.4069,14.0,0.0966,145.0,,,2025-11-19,,,2025
DI,2024-2025,1,18,0,HASTINGS PUBLIC SCHOOLS,Mathematics,6,GENDER,Female,1224.78,51.0,0.4904,46.0,0.4422999999999999,7.0,0.0673,104.0,,,2025-11-19,,,2025
DI,2024-2025,1,18,0,HASTINGS PUBLIC SCHOOLS,Mathematics,6,GENDER,Male,1217.02,72.0,0.518,59.0,0.4245,8.0,0.0576,139.0,,,2025-11-19,,,2025
DI,2024-2025,1,18,0,HASTINGS PUBLIC SCHOOLS,Mathematics,7,GENDER,Female,1228.48,62.0,0.496,49.0,0.392,14.0,0.1119999999999999,124.0,,,2025-11-19,,,2025
DI,2024-2025,1,18,0,HASTINGS PUBLIC SCHOOLS,Mathematics,7,GENDER,Male,1212.9,66.0,0.5739,42.0,0.3652,7.0,0.0608999999999999,115.0,,,2025-11-19,,,2025
DI,2024-2025,1,18,0,HASTINGS PUBLIC SCHOOLS,Mathematics,8,GENDER,Female,1254.51,45.0,0.3358,82.0,0.6119,7.0,0.0521999999999999,134.0,,,2025-11-19,,,2025
DI,2024-2025,1,18,0,HASTINGS PUBLIC SCHOOLS,Mathematics,8,GENDER,Male,1255.03,46.0,0.3538,65.0,0.5,19.0,0.1462,130.0,,,2025-11-19,,,2025
